Interaction_Type,Customer_Query,Chatbot_Response,Category,Title,Price,Image_URL,Key_Features,Specifications,Product_URL
Single-turn FAQ,What is the warranty period for this refrigerator?,The refrigerator comes with a warranty of 2 years total and 10 years for the compressor.,Refrigerators,"450L 2 Star Prime Convertible 6-Stage Smart Inverter Frost-Free Double Door Bottom Mount Refrigerator (NR-BK465BQKN, Diamond Black, Jumbo Fresh Vegetable Basket, Net Capacity 401L, 2023 Model)","₹62,490",https://store.in.panasonic.com/media/catalog/product/cache/7fc2a3fe77c40f27b75b2c9e63d22798/n/r/nr-bk465bqkn_base_image.jpg,"Bottom-mount refrigerator with 4 special time-saving modes, Dedicated convertible Prime Fresh zone, 28L Fresh safe veg box with humidity seal, 6 Stage Intelligent Inverter Compressor, 2 years total + 10 years compressor warrenty, Toughened Glass Shelves with 150 kg Load Bearing Capacity, , ",{},https://store.in.panasonic.com/refrigerator/bottom-mouted-refrigerators/panasonic-401l-2-star-prime-convertible-6-stage-smart-inverter-frost-free-double-door-bottom-mount-refrigerator.html
Single-turn FAQ,What is the warranty coverage for this AC model?,"The warranty coverage for this AC model includes 1 Year Comprehensive, 5 years on PCB, 10 years on Compressor, and 5 years on Outdoor Casing.",2024 Model,"1.5 Ton 5 Star Wi-Fi Inverter Smart Split AC (7 in 1 Convertible with True AI Mode, 4 Way Swing, Active Air Purification by nanoe-G and real time AQI monitoring, Matter Certified, 2024 Model, White)","₹48,990",https://store.in.panasonic.com/media/catalog/product/cache/7fc2a3fe77c40f27b75b2c9e63d22798/x/u/xu18akyf_info1_wd.jpg,"Smart Split AC with Auto Convertible Inverter compressor, India's 1st Matter Enabled AC, 5 Star Energy Rating for energy efficiency. Suitable for 11.14 Sqmt to 16.72 sqmt rooms., Warranty: 1 Year Comprehensive | 5 years on PCB |10 years on Compressor | 5 years on Outdoor Casing, Copper Condenser Coil with Shield Blu Technology: For greater durability in high humidity & coastal areas, Works with Amazon Alexa and Google Assistant |Customized Sleep Profiles | Remote Access and Control with Miraie, nanoe G technology: Cleans indoor air, Miraie: Connected Living | Comfortable Sleep Profile |Full Control Anytime Anywhere",{},https://store.in.panasonic.com/air-conditioners/2024-model/cs-cu-xu18akyf.html
Single-turn FAQ,What is the warranty on this washing machine?,The washing machine comes with a 2 years comprehensive warranty and a 5 years warranty on the motor.,Washing Machines,"7 kg 5 Star Semi-Automatic Top Loading Washing Machine with Powerful Motor (NA-W70B5RRB, Red, Active Foam System)","₹12,390",https://store.in.panasonic.com/media/catalog/product/cache/7fc2a3fe77c40f27b75b2c9e63d22798/n/a/na-w70b5rrb_dp1.jpg,"Stylish Plastic Lid with Covered Panel, Heavy Duty Motor for Superior Wash Performance, 7 kg Capacity - suitable for single user/couples, 2 years comprehensive warranty and 5 years warranty on motor, , , , ",{},https://store.in.panasonic.com/washing-machines/semi-automatic/na-w70b5rrb-7-0-kg-semi-automatic-red-color.html
Single-turn FAQ,Can I control this AC using voice commands?,"Yes, this AC model works with Amazon Alexa and Google Assistant, allowing you to control it using voice commands.",2024 Model,"1.5 Ton 5 Star Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with True AI Mode, 4 Way Swing, PM 0.1 Air Purification Filter, Matter Certified, 2024 Model, White)","₹43,990",https://store.in.panasonic.com/media/catalog/product/cache/7fc2a3fe77c40f27b75b2c9e63d22798/a/c/acrevised.jpg,"Smart Split AC with Auto Convertible Inverter compressor, Converti7: 7 Stages of Cooling Performance, 5 Star Energy Rating for energy efficiency. Suitable for 11.14 Sqmt to 16.72 sqmt rooms., Warranty: 1 Year Comprehensive | 5 years on PCB |10 years on Compressor., Copper Condenser Coil with Shield Blu Technology: For greater durability in high humidity & coastal areas, Works with Amazon Alexa and Google Assistant |Customized Sleep Profiles | Remote Access and Control with Miraie, , Miraie: Connected Living | Comfortable Sleep Profile |Full Control Anytime Anywhere",{},https://store.in.panasonic.com/air-conditioners/2024-model/cs-cu-nu18zky5w.html
Single-turn FAQ,What is the energy rating of the AC?,The AC has a 3 Star Energy Rating for energy efficiency.,2024 Model,"1.5 Ton 3 Star Hot & Cold Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with True AI Mode, 2 Way Swing, PM 0.1 & Ag Clean Plus Air Purification Filter, 2024 Model, White)","₹42,990",https://store.in.panasonic.com/media/catalog/product/cache/7fc2a3fe77c40f27b75b2c9e63d22798/k/z/kz18akyf_baseimage_2510-updated.png,"Smart Split AC with Auto Convertible Inverter compressor, Hot & Cold All Weather AC, 3 Star Energy Rating for energy efficiency. Suitable for 11.14 Sqmt to 16.72 sqmt rooms., Warranty: 1 Year Comprehensive | 5 years on PCB |10 years on Compressor | 5 years on Outdoor Casing, Copper Condenser Coil with Shield Blu Technology: For greater durability in high humidity & coastal areas, Works with Amazon Alexa and Google Assistant |Customized Sleep Profiles | Remote Access and Control with Miraie, , Miraie: Connected Living | Comfortable Sleep Profile |Full Control Anytime Anywhere",{},https://store.in.panasonic.com/air-conditioners/2024-model/cs-cu-kz18akyfn.html
Single-turn FAQ,What is the warranty period for this refrigerator?,The refrigerator comes with a warranty of 1 year on the product and an additional 10 years on the compressor.,Refrigerators,"309L 2 Star 6-Stage Smart Inverter Frost-Free Double Door Refrigerator (NR-TG322BPRN, Deep Wine, Jumbo Vegetable Basket, Net Capacity 279L)","₹35,490",https://store.in.panasonic.com/media/catalog/product/cache/7fc2a3fe77c40f27b75b2c9e63d22798/a/r/artboard-1_114.jpg,"Econavi AI Technology, 6 Stage Intelligent Inverter Compressor, Biggest 35L Vegetable Box, Toughened Glass Shelf with 100KG Load, Best In Class Energy Efficiency, 1+10 yrs Warranty, , ",{},https://store.in.panasonic.com/refrigerator/frost-free/tg322-309-l-deep-wine-double-door-refrigerator-with-ai-inverter-technology.html
Single-turn FAQ,What is the aperture range of the Lumix L-Mount S 85mm lens?,The aperture range of the Lumix L-Mount S 85mm lens is from f/1.8 to f/22.,Cameras,"Lumix L-Mount S 85mm f/1.8 Fixed Focal Length Lens, Aperture Range: f/1.8 to f/22, Linear AF Motor, Dust, Splash and Freeze-Resistant Design (S-S85MGC, Black)","₹40,443",https://store.in.panasonic.com/media/catalog/product/cache/7fc2a3fe77c40f27b75b2c9e63d22798/s/-/s-s85gc_info_1_uni958thvi0hikkr.jpg,"L-Mount Lens/Full-Frame Format, Aperture Range: f/1.8 to f/22, Two Extra-Low Dispersion Elements, Linear AF Motor, Weather-Sealed Construction, Rounded 9-Blade Diaphragm, , ",{},https://store.in.panasonic.com/cameras/lenses/lumix-l-mount-s-85mm-f-1-8-fixed-focal-length-lens-aperture-range-f-1-8-to-f-22-linear-af-motor-dust-splash-and-freeze-resistant-design-s-s85mgc-black.html
Single-turn FAQ,Can this microwave oven be used for grilling purposes?,"Yes, this microwave oven comes with a Magic Grill feature for two-way heating, making it ideal for grilling and ensuring faster cooking.",Microwave Ovens,"27L Convection Microwave Oven (NN-CD674MFDG, Silver, Rotisserie, Crispy tawa, Magic Grill, Zero Oil Recipes)","₹17,790",https://store.in.panasonic.com/media/catalog/product/cache/7fc2a3fe77c40f27b75b2c9e63d22798/a/r/artboard-1_50.jpg,"27 L Capacity : Convection for daily cooking convenience for mid to large families of 3 to 4 members, Convection Microwave Oven to  Bake, Grill, Cook, Defrost and Reheat, Auto Cook Menu with 141 Preset Microwave Menu for everyday healthy cooking, Zero Oil Recipes for a preset menu that includes healthy recipes created without the use of oil, margarine or ghee, Magic Grill for two way heating for faster cooking. Ideal for Indian recipes, Warranty : 1 year warranty on product and 5 years on magnetron, Child Lock : Locks the control panel to prevent accidental tampering by children, ",{},https://store.in.panasonic.com/microwave-oven/convection/27l-convection-microwave-oven.html
Single-turn FAQ,What are the key features of the TH-55MX850DX Google TV?,"The key features of the TH-55MX850DX Google TV include 4K Color Engine, HDR 10, Dolby Vision & Atmos, Home Theater Built-In with Tweeter, Game Mode, Chromecast Built-In & Air Screen, and Ok Google functionality.",Televisions,"139 cm (55 inches) 4K Ultra HD Smart LED Google TV TH-55MX850DX (Black, 4K Colour Engine, Dolby Vision & Atmos, Google Assistant)","₹72,490",https://store.in.panasonic.com/media/catalog/product/cache/7fc2a3fe77c40f27b75b2c9e63d22798/t/h/th-55mx850dxrev.jpg,"4K Color Engine, HDR 10, Dolby Vision & Atmos, Home Theater Built-In with Tweeter, Game Mode, Chromecast Built-In & Air Screen, Ok Google, ",{},https://store.in.panasonic.com/televisions/4k-google-tv/mx850-google-tv-4k-hrd-tv-55-inches.html
Single-turn FAQ,What are the connectivity options available for SC-HT480GW-K soundbar?,"The SC-HT480GW-K soundbar offers Bluetooth connectivity, USB and AUX play options for enhanced flexibility in your audio setup.",Audio,"SC-HT480GW-K 100W 4.1 Channel Auxiliary, USB, Micro USB Soundbar (Black)","₹9,966",https://store.in.panasonic.com/media/catalog/product/cache/7fc2a3fe77c40f27b75b2c9e63d22798/i/n/info1_2.jpg,"4.1 ch. Speaker-Cum-Soundbar, Power Output(RMS) : 100 Watts, Bluetooth Connectivity, Remote Control, USB/AUX Play, Wall Mountable, , ",{},https://store.in.panasonic.com/audio/sound-bar/ht480.html
